season,episode,scene,location,extra_scene_info
5,16,5,outside of central perk,phoebe is exiting and sees a woman put out her cigarette on a tree.
5,16,6,ross's building's lobby,he and rachel are about to attempt to take the couch upstairs.
5,16,7,chandler and joey's,phoebe is telling chandler and monica how she fought crime in her own way with the badge she found.
5,16,8,outside central perk,"phoebe is walking up and notices a car that is parked half on the curb and right in front of the door, making it difficult for people to enter central perk."
5,16,9,monica and rachel's,joey is entering. rachel is there getting some tools to help ross out.
5,16,10,the lobby of ross's building,"he's sitting on the couch at the bottom of the stairs, and he's practicing enticing women to join him on the couch."
5,16,11,chandler and joey's,"joey is returning and finds chandler, monica, and rachel are there."
5,16,12,monica and rachel's,joey is entering with a pizza and finds everyone but ross there.
5,16,13,the couch store,ross is talking to a saleswoman.
5,16,13,the couch store,ross is talking to a saleswoman.
5,17,1,central perk,"everyone is there as rachel enters, happily."
5,17,2,monica and rachel's,joey is standing at the window waving at ross.
5,17,3,ross's building,"joey is trying to find the hot girl's apartment. so he's walking up the hallway counting doors. he comes to what he thinks is the right one and knocks on it. ross opens the door, it's his apartment."
5,17,4,monica and rachel's,joey is entering again.
5,17,5,monica and rachel's,"later that day, gary is kissing phoebe good-bye."
5,17,6,monica and rachel's,"the next day, chandler and joey are there as rachel returns from her interview."
5,17,7,ross's building,joey is knocking on a door again. it's again answered by ross.
5,17,8,rachel's job interview,she is waiting outside mr. zelner's the interviewer office banging her pen between her teeth.
5,17,9,monica and rachel's,rachel is returning from her interview attempt.
5,17,10,central perk,phoebe and gary and chandler and monica are all there.
5,17,11,the lobby in ross's building,"we see a flyer that is on the bulletin board that reads, ""are you the hot girl who waved at me? if so, give me a call!"" and it's signed, joey 629-9*** the last couple of numbers have been ripped off. anyhoo, ross is getting his mail."
5,17,12,monica and rachel's,a post-coital monica and chandler are recovering on the couch.
5,17,13,jen's apartment,ross is picking her up for their date.
5,17,14,mr. zelner's office,rachel has come back again to try and do that second interview.
5,17,15,a restaurant,"chandler, monica, phoebe, and gary are on a double date. chandler is yawning."
5,17,15,a restaurant,"chandler, monica, phoebe, and gary are on a double date. chandler is yawning."
5,17,16,looking through ross's window,"he's doing more pantomimes. the first one is he's walking a dog that has stopped, then suddenly tugs him forward. cut to the inside of monica and rachel's apartment, monica and rachel are sitting at the table."
5,17,16,looking through ross's window,"he's doing more pantomimes. the first one is he's walking a dog that has stopped, then suddenly tugs him forward. cut to the inside of monica and rachel's apartment, monica and rachel are sitting at the table."
5,18,1,central perk,"joey, chandler, monica, and phoebe are there. joey is holding a deck of cards out to chandler."
5,18,2,monica and rachel's,"everyone is eating breakfast, ross is heading for the bathroom."
5,18,3,ben's audition,"carol, ross, and ben along with about 10 more families are in a waiting room as joey enters happily."
5,18,4,rachel's new job,"she's in her new boss's office kim's and with the other assistant nancy. together they're deciding what clothes to buy or something, who knows, let's all watch/read to find out."
5,18,5,monica and rachel's,rachel is telling chandler and monica about her day.
5,18,6,the smoker's balcony,rachel is out to join kim and nancy.
5,18,7,ben and joey's isn't that an ice cream?? callback,rachel is out to join kim and nancy.
5,18,8,chandler and joey's,ross and chandler are talking.
5,18,9,central perk,chandler and monica are there as rachel enters.
5,18,10,the smoker's balcony,"rachel, kim, and nancy are all puffing away on their cancer sticks."
5,18,11,joey and ben's audition,"joey is rehearsing his lines, uh correction, joey is rehearsing his line ."
5,18,12,the smoker's balcony,kim and nancy are cheating and are caught by rachel.
5,18,13,monica and rachel's,"rachel's surprise party. the apartment is festooned with cups. there are cups everywhere! cup centerpiece, cup garland, etc., etc"
5,18,13,monica and rachel's,"rachel's surprise party. the apartment is festooned with cups. there are cups everywhere! cup centerpiece, cup garland, etc., etc"
5,18,14,the smoker's balcony,kim and nancy are out smoking as chandler sticks his head out the door.
5,18,14,the smoker's balcony,kim and nancy are out smoking as chandler sticks his head out the door.
5,19,1,chandler and joey's,chandler is getting ready for a date with monica as ross enters.
5,19,2,monica and rachel's,rachel and phoebe are in the kitchen.
5,19,3,monica and rachel's,it's continued from before the commercial break.
5,19,4,the street outside the building,rachel is running to catch up with caitlin.
5,19,5,monica and rachel's,"phoebe, chandler, and joey's grandmother are still watching law & order ."
5,19,5,monica and rachel's,"phoebe, chandler, and joey's grandmother are still watching law & order ."
5,19,6,monica and rachel's,"another time lapse, monica is seeking advice from rachel and phoebe about possible replacement earrings."
5,19,6,monica and rachel's,"another time lapse, monica is seeking advice from rachel and phoebe about possible replacement earrings."
5,20,1,central perk,"chandler, rachel, joey, and monica are sitting on the couch as ross is up getting some coffee."
5,20,2,monica and rachel's,monica is kneeling at the coffee table and has a bunch of pictures laid out in front of her as rachel enters.
5,20,3,gary's cop car,ross is in the front seat with gary of course. chandler is in the back seat.
5,20,4,ross's apartment,"rachel is just entering. she takes off her coat and heads for the kitchen. as she does, she knocks something off of a bookcase next to the kitchen door with her coat and it breaks."
5,20,5,the ride along,"rachel is just entering. she takes off her coat and heads for the kitchen. as she does, she knocks something off of a bookcase next to the kitchen door with her coat and it breaks."
5,20,6,ross's apartment,rachel is playing emily's message to monica.
5,20,7,the ride along,they're all waiting outside of the witness's house and still in the car in the same places as before.
5,20,8,ross's apartment,monica has all the supplies she needs and is getting ready to leave.
5,20,9,central perk,the guys are returning from the ride along to find phoebe already there.
5,20,10,chandler and joey's,chandler is pacing as joey enters.
5,20,11,ross's apartment,"rachel is trying to repair the thing she broke earlier, but gets interrupted by hearing ross at the door. she panics and throws the thing into the kitchen. and runs to the couch as ross enters."
5,20,11,ross's apartment,"rachel is trying to repair the thing she broke earlier, but gets interrupted by hearing ross at the door. she panics and throws the thing into the kitchen. and runs to the couch as ross enters."
5,20,12,central perk,everyone is there.
5,20,12,central perk,everyone is there.
5,21,1,central perk,"gary, phoebe, monica, and chandler are there."
5,21,2,monica and rachel's,joey and ross are playing catch with a little foam globe.
5,21,3,the 5 th precinct,"gary's precinct, chandler has come to talk to him about commitment. and as he's walking through the door he notices a couple of ""ladies of the night"" sitting there. if you know what i mean."
5,21,4,chandler and joey's,ross and joey are still playing catch.
5,21,5,central perk,phoebe is drinking coffee as chandler enters.
5,21,6,chandler and joey's,"joey, ross, and monica are still playing catch, with chandler looking on. joey throws the ball to monica who catches it and whips it at ross."
5,21,7,gary's precinct,phoebe is entering.
5,21,8,the street outside central perk,rachel is trying to sell the cat.
5,21,9,chandler and joey's,"joey, ross, monica, and now chandler are still playing catch. the guys are exhausted and sitting around the room. monica is still standing all pumped up and being hyper-competitive yet again. {okay! we get it! she's competitive!! must we see all the time?!}"
5,21,10,gary and phoebe's apartment,it's morning and they're both waking up in bed.
5,21,11,monica and rachel's,"hyper-competitive monica, rachel, chandler, joey, and ross are still playing catch. monica is finally tiring while the rest of them are totally exhausted and virtually asleep."
5,21,11,monica and rachel's,"hyper-competitive monica, rachel, chandler, joey, and ross are still playing catch. monica is finally tiring while the rest of them are totally exhausted and virtually asleep."
5,21,12,central perk,everyone is there.
5,21,12,central perk,everyone is there.
5,22,1,central perk,everyone but phoebe are there reading. rachel is sitting on the couch flanked by ross and monica. she suddenly stops reading and starts blinking her left eye as if it's bothering her. the problem is that joey is on her left and thinks she's winking at him and winks back. ross is watching this and isn't quite sure of what to make of it.
5,22,2,monica and rachel's,"ross, chandler, monica, and phoebe are eating breakfast."
5,22,3,central perk,joey is reading a map as phoebe enters.
5,22,4,monica's eye doctor's office,"monica and rachel are waiting in an exam room and looking at this big white thing used to check eyes. i have no idea what it is, and if an ophthalmologist happens to know what that is, let me know."
5,22,5,central perk,"phoebe, rachel, monica, and joey are there."
5,22,6,phoebe's cab,joey and chandler are headed across the george washington bridge on their way to las vegas. joey is driving.
5,22,7,central perk,"ross, phoebe, rachel, and monica are there. ross is trying to figure out why phoebe's mad at him."
5,22,8,monica and rachel's,rachel is trying to apply her eye drops while monica looks on.
5,22,9,monica and rachel's,"time lapse, phoebe and monica are playing cards as the phone rings."
5,22,10,the desert outside of las vegas,"joey is arriving and we hear the song, name . y'know, singing i've been through the desert on a horse with no name! it felt good to be out of the rain. in the desert, you can't remember your name, 'cause there ain't no one for to give you no pain. la…la…la-la-la, la, la, la, la-la-la . you get the idea. anyhoo, he pulls up and stops. as he gets out of the car, he spills a huge pill of fast food containers out of the foot well."
5,22,11,monica and rachel's,the phone is ringing.
5,22,11,monica and rachel's,the phone is ringing.
5,22,12,monica and rachel's,the gang is surrounding rachel at key positions.
5,22,12,monica and rachel's,the gang is surrounding rachel at key positions.
5,23,1,monica and rachel's,rachel is sitting in the living room and phoebe is standing in the kitchen as the phone rings.
5,23,2,monica and rachel's,phoebe is entering.
5,23,3,an airplane cabin,"phoebe has the aisle seat, chandler the window, and monica's stuck in that horrible middle seat."
5,23,4,monica and rachel's,"rachel is coming out of the bathroom after a shower wearing only her bath robe, walks into the kitchen, and opens the fridge. as she bends over to grab a bottle of wine, her robe falls open damn this network primetime programming, we didn't see anything! and she quickly closes it again. but then realizes she didn't have to do that. so she closes the fridge and stands next to the table, thinks about it for a little while and…"
5,23,5,monica and rachel's,the scene is continued from where we left off before the break.
5,23,6,las vegas,"we have the typical glamour shots of vegas, the strip, slot machines, a couple other gaming tables all set to the tune of you guessed it, money . anyhoo, we finally get through that and watch chandler, monica, and phoebe enter caesar's palace carrying their luggage."
5,23,7,an aircraft cabin,ross and rachel are on their way to vegas.
5,23,8,chandler's hotel room,he's sitting there with joey who's talking about his helmet and running his hand through that feathery thing at the top.
5,23,9,the casino bar,"phoebe and monica are sitting at the bar, while wayne newton's signature song danke schoen is playing in the background."
5,23,10,an airplane cabin,ross and rachel are both reading as a guy stops by their row.
5,23,11,caesar's palace casino,joey is approaching one of the blackjack tables on his quest to make enough money for his movie.
5,23,12,caesar's palace casino,"chandler is looking for monica while tom jones's signature song is playing in the background getting the theme yet? tom jones, wayne newton, casinos… they're in vegas people! catch up! it's not unusual , y'know, "" it's not unusual to be loved by anyone! it's not unusual to have fun with anyone! but when i see you hanging about with anyone, it's not unusual to see me cry! i wanna die. "" well, while that's playing he spots monica playing craps and in victory hug the guy next to her. chandler turns and walks out."
5,23,13,that same plane cabin,"ross is working on a crossword puzzle and rachel is asleep against his shoulder. she shifts a little bit and ross suddenly gets an idea. an evil idea when he looks at his pen. then we have a little time lapse, the plane has landed and everyone is disembarking. the flight attendant is saying bye-bye to everyone. the"
5,23,14,the casino,ross and rachel are entering.
5,23,15,the craps table,monica is on a big roll.
5,23,16,a blackjack table,"it's the same one joey's hand twin was working at, only he's not there anymore and has been replaced by a beautiful woman."
5,23,17,ross and rachel's hotel room,"rachel is still trying to get the ink off and ross is on the phone to the company. wait a minute, why exactly are they sharing a hotel room? didn't they like break-up or something? did i miss a memo? or maybe, it's just foreshadowing things to come. who knows? maybe the answer's at the bottom of the page. then again, maybe it isn't and it's just one of those things tv writers just don't explain. anyhoo…"
5,23,18,the casino,phoebe is playing on a slot machine. suddenly the lurker sticks her head around the aisle of slot machines.
5,23,19,the men's room,joey is entering and sees his hand twin washing his hands.
5,23,20,ross and rachel's room,ross is drinking a beer while rachel is examining herself in the mirror.
5,23,21,the craps table,"monica is still on her roll, only this time chandler's with her and she has a huge crowd of people around."
5,23,22,the craps table,continued from earlier.
5,23,23,the slot machines,phoebe is still feeding quarters into the one-armed bandit as the lurker peeks over the top of the machines.
5,23,24,ross and rachel's room,"they've pretty much consumed the entire mini-bar. needless to say, they're feeling no pain and are still playing blackjack."
5,23,25,the slot machines,"we see some guy not having any luck. both phoebe and the lurker are lurking him and each stick their heads around the corner at different times this is all set to that pink panther song. finally the guy gives up and walks past the lurker's position, thus giving her the advantage. she scurries in and quickly drops a coin in the slot before phoebe gets there. phoebe arrives slightly later and pulls the arm just after the lurker deposits the coin and wins."
5,23,26,the gift shop,monica and chandler are entering.
5,23,27,a blackjack table,"joey is moving in to try and get his hand twin who's dealing to join him in his evil plot to rule the world! ""join me, and together we'll rule the universe as father and son!"" sorry, i had a little star wars creep in there—ooh, i have a big spoiler for the phantom menace , yoda lives at the end! ha-ha, spoiled it! now you don't have to see it!"
5,23,28,a little white chapel,chandler and monica are entering.
5,23,28,a little white chapel,chandler and monica are entering.
6,1,1,the wedding chapel,continued from last season. chandler and monica are about to get married.
6,1,2,rachel’s hotel room,she’s waking up with a horrendous hangover.
6,1,3,the breakfast buffet,phoebe is already sitting at the table as joey enters.
6,1,4,the casino floor,chandler and monica are walking through it.
6,1,5,phoebe’s cab,phoebe and joey are driving back. phoebe is driving while joey is sleeping.
6,1,6,central perk,rachel is on the couch as ross enters.
6,1,7,central perk,continued from earlier. rachel starts laughing.
6,1,8,the hallway,chandler is helping monica to the door.
6,1,9,phoebe’s cab,"she’s driving, joey’s in the back seat, and the hitchhiker is riding up front with phoebe."
6,1,10,monica and rachel's,ross is entering.
6,1,11,phoebe’s cab,it’s the same arrangement as before.
6,1,12,monica and rachel's,"chandler and monica are there and rachel is arranging a bouquet of flowers, pricks her finger on a thorn, throws the bouquet over her head, and those you who are quicker than some already know that monica is the one who catches it."
6,1,13,central perk,rachel and phoebe are on the couch as ross enters.
6,1,13,central perk,rachel and phoebe are on the couch as ross enters.
6,1,14,the hallway,joey is coming up the stairs and sees chandler trying to open the lock.
6,2,1,central perk,it’s the same scene from the end of last week’s show. phoebe and rachel are sitting on the couch as ross enters.
6,2,2,monica and rachel's,chandler and monica are cuddling on the couch.
6,2,3,central perk,phoebe is on the couch as monica enters.
6,2,4,monica and rachel's,monica is pacing anxiously waiting for rachel.
6,2,5,central perk,"phoebe is hosting an impromptu roundtable discussion with stephanie, karin, and meg about ross’s three divorces."
6,2,6,monica and rachel's,chandler and monica are still debating about how to tell rachel that chandler’s moving in and she’s moving out.
6,2,7,chandler and joey's,chandler is packing some books and joey is watching him.
6,2,8,ross’s lawyer’s office,his name is russell and has just been told by ross about his current situation.
6,2,9,monica and rachel's,rachel is painting her toe nails as monica enters.
6,2,10,the hallway,ross is coming up the stairs as phoebe leaves joey and chandler’s.
6,2,11,monica and rachel’s as ross walks through the door,rachel is holding the chrome star and crying.
6,2,11,monica and rachel’s as ross walks through the door,rachel is holding the chrome star and crying.
6,2,12,central perk,joey and phoebe are talking.
6,3,1,monica and rachel's,"joey, monica, and phoebe are there as chandler enters."
6,3,2,central perk,"ross is reading a magazine, eating a cookie, and drinking some coffee as phoebe enters."
6,3,3,monica and rachel's,chandler and monica are there as joey enters.
6,3,4,chandler and joey's,chandler is coming from across the hall.
6,3,5,central perk,phoebe is on the couch staring off into space as rachel enters.
6,3,6,central perk,continued from earlier.
6,3,7,monica and rachel's,monica is in the kitchen as chandler enters.
6,3,8,chandler and joey's,"joey is interviewing a potential roommate. and yes, she’s a female, non-smoker and very non-ugly."
6,3,9,ross’s apartment,rachel is entering and ross is making some room on the shelves for his stuff.
6,3,10,monica and rachel's,"ross is entering, dragging chandler, to mediate the argument between chandler and monica."
6,3,11,central perk,"rachel is sitting at the counter waiting for gunther, yep gunther’s back, to refill her coffee."
6,3,12,monica and rachel's,"chandler is once again being dragged in by ross so he that he can try to manipulate the situation so that it’s best for ross, not necessarily what’s best for monica and chandler."
6,3,13,central perk,"phoebe is singing a new song. yep, the first new phoebe song of season six, ross, joey, and rachel are also there."
6,3,14,chandler and joey's,joey has the potential roommate back for another interview.
6,4,1,monica and rachel's,rachel is packing her belongings to move to ross’s. she’s standing in the kitchen.
6,4,2,central perk,"joey, monica, rachel, and chandler are all there as phoebe enters dejectedly."
6,4,3,chandler and joey's,joey is playing that string game with the two hands and the weird crossing patterns as chandler enters with the mail.
6,4,4,monica and rachel's,phoebe enters to find rachel still packing.
6,4,5,estelle leonard theatrical agency,joey is there to see his agent.
6,4,6,chandler and joey's,chandler enters to find joey lying in the fetus position on the floor.
6,4,7,a nyu lecture hall,"rachel and monica are arriving to talk to ross after the lecture, but are there early."
6,4,8,a nyu lecture hall,"the scene is continued from earlier, only ross has dismissed the class and is now talking to monica and rachel."
6,4,9,central perk,"chandler is reading on the couch while joey, still suffering from his hernia, is returning with coffee for them both. after a series of grunts and groans he manages to painfully walk back from the counter, sit down, and slide chandler his coffee."
6,4,10,monica and rachel's,monica and rachel are having a tug-of-war over the disputed candlesticks.
6,4,11,casting director #1’s office,joey is on his first audition. his partner is an 8-year-old boy.
6,4,12,casting director #2’s office,"joey is on his second audition. this one is for purina one dog chow , an actual item. please note the gratuitous product placement."
6,4,13,casting director #3’s office,joey is entering.
6,4,14,monica and rachel's,monica and rachel are playing phone pranks on ross.
6,4,15,silvercup studios,joey has won the part of dying man and is now able to play the role he was injured for. chandler is helping to carry him in.
6,4,16,ross and rachel’s apartment,rachel is unpacking as the phone rings.
6,4,17,a nyu lecture hall,ross is trying to phase out his accent.
6,4,17,a nyu lecture hall,ross is trying to phase out his accent.
6,4,18,chandler and joey's,"joey is holding a football helmet; and apparently, in a rather disgusting scene, joey wants phoebe to beat him senseless. luckily it isn’t a long trip. because he’s made a miraculous recovery from his hernia and wants to take advantage of all those free surgeries he can get now since he’s re-established his health insurance."
6,5,1,monica and rachel's,"the gang is there except for rachel and ross, who both come storming in. rachel is still going off about ross’s secret marriage."
6,5,2,central perk,joey and monica are at the counter getting some more coffee.
6,5,3,the street down the block from central perk,joey has found the porsche and is writing the note.
6,5,4,monica and rachel's,phoebe and rachel are having tea.
6,5,5,monica and rachel's,"the next day, chandler, monica, and phoebe are baby-sitting the triplets. they each have one baby."
6,5,6,the porsche,joey is finishing up washing the car and is talking to a guy about the car.
6,5,7,monica and rachel's,the triplets are all in their crib as monica and phoebe watch them.
6,5,8,a judge’s chambers,rachel and ross are filing their annulment papers.
6,5,9,monica and rachel's,"chandler is still doing the hairball thing as monica and phoebe are watching the babies. i can’t describe it, you’ll have to see it when it comes on in your area."
6,5,10,the street,joey is hanging out wearing his porsche grab.
6,5,11,monica and rachel's,phoebe is being triple teamed.
6,5,12,ross’s apartment,rachel is packing what she still has over there as ross enters.
6,5,12,ross’s apartment,rachel is packing what she still has over there as ross enters.
6,5,13,the street,joey is messing with a car cover and still wearing the porsche stuff. this guy playing street football catches a pass next to the car cover joey is fooling around with.
6,6,1,chandler and joey's,joey is balancing a mini hockey stick on his hand as chandler enters from his room carrying a bunch of bills.
6,6,2,monica and rachel's,chandler is talking to phoebe about trying to give joey some money.
6,6,3,chandler and joey's,joey is entering carrying two pizzas.
6,6,4,rachel’s bedroom,she’s in her closet bringing down her pair of roller blades from a top shelf.
6,6,5,chandler and joey's,they are just finishing up another game of foosball.
6,6,6,monica and rachel's,the phone rings and monica answers it as rachel and phoebe move a box into the living room.
6,6,7,rachel’s bedroom,"rachel is entering carrying two glasses of wine. she gives one to phoebe, keeps one, and completely ignores monica."
6,6,8,chandler and joey's,joey is examining the broken foosball table as chandler enters from his room.
6,6,9,monica and rachel's,monica is whining to phoebe about rachel.
6,6,10,chandler and joey's,they’re still playing cups.
6,6,11,monica and rachel's,monica carries a box out of rachel’s room.
6,6,12,chandler and joey's,"ohh, that’s the last time i’m ever gonna type that line. it’s just so sad. joey is entering, angrily."
6,6,13,monica and rachel's,"and that’s the last time for that line, no more chandler and joey’s or monica and rachel’s, ever! joey and ross are carrying the last table of rachel’s. rachel follows slowly, but is stopped by monica."
6,6,13,monica and rachel's,"and that’s the last time for that line, no more chandler and joey’s or monica and rachel’s, ever! joey and ross are carrying the last table of rachel’s. rachel follows slowly, but is stopped by monica."
6,6,14,ross’s apartment,chandler is trying to get joey’s money back from ross.
6,7,1,phoebe and rachel’s new apartment,rachel and phoebe are making their answering machine message.
6,7,2,monica and chandler’s new apartment,ross and chandler are there.
6,7,3,the park phoebe and rachel are getting ready to go running,ross and chandler are there.
6,7,4,central perk rachel,ross and monica are there
6,7,5,monica and chandler’s new apartment,chandler is putting something away under the sink.
6,7,6,joey and janine’s new apartment,"janine is there. joey walks in to see janine bent over, stretching."
6,7,7,the park,rachel is running and phoebe is hiding behind a tree.
6,7,8,monica and chandler’s,chandler is there. everything is out of its place and chandler's cleaning.
6,7,9,monica and chandler’s,continued from earlier.
6,7,10,phoebe and rachel’s,rachel is there as phoebe enters.
6,7,11,monica and chandler’s,"chandler has the tape measure out and is busy lining up the lamp on the kitchen counter, ross is supervising the whole operation."
6,7,12,joey and janine's,janine's there. joey enters
6,7,13,the park,rachel's running by herself and panting. after a little while she decides to run like phoebe.
6,7,14,monica and chandler’s,chandler and ross are there. monica enters
6,7,15,central perk,"ross, janine and chandler are there"
6,8,1,joey and janine’s,chandler knocks on the front door. joey answers the door.
6,8,2,central perk,the gangs all here. monica is walking in.
6,8,3,rachel’s office,phoebe hands rachel a key card.
6,8,4,joey and janine’s apartment,joey stares at a picture of a bay on the wall. janine comes out of her room.
6,8,5,elevator at the ralph lauren offices,rachel gets on her boss kim is there.
6,8,6,central perk,monica and chandler are on the couch. ross walks in.
6,8,7,ross’s apartment,ross and monica are there.
6,8,8,chandler’s and monica’s apartment,chandler and monica are sitting at the kitchen table making potpourri sachets.
6,8,9,joey and janine’s apartment,chandler walks in. joey and janine are knitting at the kitchen counter.
6,8,10,ross’s apartment,chandler enters. ross is putting on makeup.
6,8,11,elevator at the ralph lauren offices,kim’s waiting for it. the door opens and rachel is inside.
6,8,12,hillary’s apartmen,. hillary and ross are having dinner. he is avoiding opening his mouth.
6,8,13,joey and janine’s apartment,joey and monica are arranging flowers. chandler walks in.
6,8,14,central perk,phoebe and rachel are there.
6,8,15,hillary’s apartment,hillary and ross are finishing up their date.
6,8,16,elevator at the ralph lauren offices,rachel gets in . kim is there.
6,8,16,elevator at the ralph lauren offices,rachel gets in . kim is there.
6,8,17,joey and janine’s apartment,joey paces the floor waiting for janine. she walks in.
6,9,1,monica and chandler's,monica is mixing some thanksgiving treat i’m assuming mashed potatoes in a bowl.
6,9,2,joey and janine’s,joey and ross are playing sony playstation . chandler enters.
6,9,3,monica and chandler’s,phoebe enters with a paper turkey.
6,9,4,rachel’s old room,it’s pretty much empty except for a few boxes against the walls. ross and chandler enter.
6,9,5,rachel’s old bedroom,continued from earlier. monica enters the room.
6,9,6,monica and chandler’s,"time lapse. jack is still on the couch, picking his teeth with his feet on the table. phoebe and judy are sitting on the table looking at him. ross and chandler are sitting by the window talking. rachel and joey are in the kitchen fooling with rachel’s trifle. monica walks into the living room from the kitchen."
6,9,7,rachel’s old room,ross and joey enter.
6,9,8,monica and chandler’s,everyone is helping clean the table.
6,10,1,monica and chandler’s apartment,everyone except ross is decorating the tree.
6,10,2,central perk,everyone except phoebe and joey are there.
6,10,3,the set,"joey, janine, ross and monica are walking in."
6,10,4,monica and chandler’s apartment,chandler is there. phoebe and rachel enter.
6,10,5,the set,everyone is dancing.
6,10,6,monica and chandler's apartment,phoebe and rachel are there and chandler enters.
6,10,7,the set,the girl is still dancing with joey.
6,10,8,the men’s bathroom,the tall guy is there as joey enters.
6,10,9,the set,monica and ross are dancing.
6,10,10,monica and chandler’s apartment,"chandler and rachel are there, and phoebe enters with the chick and the duck."
6,10,11,joey and janine’s apartment,they both enter.
6,10,11,joey and janine’s apartment,they both enter.
6,10,12,monica and chandler's apartment,everyone except joey is there.
6,11,1,monica and chandler's,everyone is there as joey enters happily.
6,11,2,central perk,joey and janine are pretty much making out at one of the tables as monica and rachel look on from the couch.
6,11,3,the hallway between the apartments,"joey, janine, chandler, and monica are returning from a double date. chandler is telling a joke."
6,11,4,phoebe and rachel's,rachel is placing cds into her antique apothecary table as phoebe returns home.
6,11,5,ross’s apartment,rachel is entering as ross comes out of the kitchen carrying popcorn.
6,11,6,joey and janine’s,joey is pacing around as chandler and monica enter.
6,11,7,joey and janine’s,continued from earlier.
6,11,8,ross's apartment,"ross, rachel, and phoebe are watching a movie."
6,11,9,monica and chandler's,monica and chandler are sitting at the kitchen table.
6,11,10,phoebe and rachel's,rachel is showing ross around the newly decorated living room.
6,11,11,the street,phoebe and rachel are heading back from that colonial flea market.
6,11,12,the hallway,"joey, janine, monica, and chandler are returning from their second date."
6,11,12,the hallway,"joey, janine, monica, and chandler are returning from their second date."
6,11,13,central perk,"ross, chandler, and monica are there as joey enters."
6,12,1,central perk,"chandler, phoebe, rachel and monica are there. ross walks in with a magazine in his hand."
6,12,2,joey’s apartment,joey is sitting at the counter as chandler enters.
6,12,3,monica and chandler's,"monica and rachel are on the couch looking at the playboy magazine. when they hear someone coming, monica goes to hide it under the sofa cushions."
6,12,4,central perk,"joey, chandler, and ross are sitting on the couch."
6,12,5,monica and chandler’s bedroom,they are in bed together.
6,12,6,phoebe and rachel’s,they’re sitting together on the couch.
6,12,7,central perk,"monica, rachel, and chandler are there as ross enters and sees gunther."
6,12,8,central perk,continued from earlier.
6,12,9,phoebe and rachel’s,phoebe is sitting on the couch as rachel and monica enter.
6,12,10,central perk,joey is coming back from using the phone.
6,12,11,monica and chandler's,chandler and ross are both pouting and sitting on the couch.
6,12,12,central perk,"rachel is sitting at a table and phoebe is on the couch. chandler and monica can be seen outside, she’s lecturing him, and pushes him inside. he then nods to rachel, and is obviously counting off the seconds in his head and then monica makes a grand enterance."
6,12,12,central perk,"rachel is sitting at a table and phoebe is on the couch. chandler and monica can be seen outside, she’s lecturing him, and pushes him inside. he then nods to rachel, and is obviously counting off the seconds in his head and then monica makes a grand enterance."
6,12,13,monica and chandler's,"monica, phoebe, and rachel are sitting at the kitchen table, talking."
6,13,1,central perk,"joey is giving rachel, chandler, phoebe, and ross their bills."
6,13,2,monica and chandler's,everyone but monica is there playing monopoly .
6,13,3,central perk,joey is working as phoebe and ross are sitting on the couch.
6,13,4,monica and chandler's,monica is still very sick and is entering the living room from the bathroom wearing a robe. chandler is reading a magazine.
6,13,5,phoebe and rachel's,rachel is putting away her new clothes as phoebe enters.
6,13,6,central perk,joey is giving the bill to the same beautiful woman from before.
6,13,7,monica and chandler's,chandler has fallen asleep reading a book. monica calls from the bedroom and wakes him up.
6,13,8,central perk,joey is singing happy birthday to yet another good-looking woman. gunther is watching and is not very happy.
6,13,9,monica and chandler's,monica is still sick and is hobbling out into the living room for some help from chandler who’s on the couch reading.
6,13,10,central perk,rachel is there as jill enters to start her date with ross.
6,13,11,monica and chandler's,rachel enters and walks quickly over to the window to watch ross’s apartment. we see that ross’s apartment is empty.
6,13,11,monica and chandler's,rachel enters and walks quickly over to the window to watch ross’s apartment. we see that ross’s apartment is empty.
6,14,1,monica and chandler's,rachel is still looking out the window as joey enters.
6,14,2,central perk,ross is on the couch reading as rachel enters. it’s the next day.
6,14,3,monica and chandler's,"chandler, monica, phoebe, and joey are watching et ."
6,14,4,central perk,phoebe is putting away her guitar as a man approaches.
6,14,5,central perk,"time lapse, rachel is at the counter as jill enters."
6,14,6,monica and chandler's,rachel is ranting about jill to chandler and monica.
6,14,7,monica and chandler's,chandler is reading chicken soup for the soul as monica enters.
6,14,8,ross's apartment,his doorbell is ringing and he’s running to answer it while doing up his pants.
6,14,9,ursula’s apartment,phoebe is going to confront her twin about her new porn career.
6,14,10,ross's apartment,ross is setting up for the slide show.
6,14,11,central perk,joey is reading a paper as phoebe enters.
6,14,12,monica and chandler's,"time lapse, ross is entering. chandler and monica are at the kitchen table. rachel is on the couch reading."
6,14,12,monica and chandler's,"time lapse, ross is entering. chandler and monica are at the kitchen table. rachel is on the couch reading."
6,14,13,central perk,everyone is there as jill enters.
6,15,1,central perk,everyone is there as rachel enters.
6,15,2,a newsstand,ross is buying a magazine and gets in line behind a woman.
6,15,3,central perk,"joey, fat monica, and her boyfriend are sitting on the couch. monica’s boyfriend is getting up to get something. for future reference, for the rest of this episode monica’s fat, i won’t be calling her fat monica throughout."
6,15,4,monica and phoebe's,"monica, chandler, and phoebe are there. phoebe’s cell phone rings and she goes through her little routine of lighting a cigarette before answering the phone."
6,15,5,a hospital,"phoebe is recovering from her heart attack as ross, monica, and chandler are there to comfort and support her."
